"id","title","year","genres","rating","votes","isaction","isadventure","iscomedy","iscrime","isdocumentary","isdrama","ishorror","ismystery","isromance","isthriller"
"tt2073661","Dawn Patrol","2014","[Drama, Thriller]","4.7","652","false","false","false","false","false","true","false","false","false","true"
"tt2402085","Jimi: All Is by My Side","2013","[Biography, Drama, Music]","5.7","6274","false","false","false","false","false","true","false","false","false","false"
"tt2527338","Star Wars: Episode IX - The Rise of Skywalker","2019","[Action, Adventure, Fantasy]","6.6","354287","true","true","false","false","false","false","false","false","false","false"
"tt2554714","Haunting of the Innocent","2014","[Horror, Thriller]","2.3","393","false","false","false","false","false","false","true","false","false","true"
"tt8737614","Majiji","2019","[Drama, Romance]","7.2","2779","false","false","false","false","false","true","false","false","true","false"
"tt3477762","Boundaries","2016","[Drama]","6.5","199","false","false","false","false","false","true","false","false","false","false"
"tt3530978","Correspondence","2016","[Drama, Romance]","6.1","3900","false","false","false","false","false","true","false","false","true","false"
"tt3824648","Big Time Adolescence","2019","[Comedy, Drama]","7.0","5718","false","false","true","false","false","true","false","false","false","false"
"tt6518886","Love Is a Broadway Hit","2017","[Romance]","5.8","19","false","false","false","false","false","false","false","false","true","false"
"tt6520962","Stan the Man","2020","[Romance]","8.1","16","false","false","false","false","false","false","false","false","true","false"
"tt7661028","The Manson Family Massacre","2019","[Crime, Horror, Thriller]","3.1","259","false","false","false","true","false","false","true","false","false","true"
"tt7695522","Diya","2018","[Drama, Horror, Thriller]","5.7","435","false","false","false","false","false","true","true","false","false","true"
"tt7713068","Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn","2020","[Action, Adventure, Crime]","6.1","149371","true","true","false","true","false","false","false","false","false","false"
"tt0455944","The Equalizer","2014","[Action, Crime, Thriller]","7.2","327903","true","false","false","true","false","false","false","false","false","true"
"tt0773292","Inner Circle Line","2006","[Drama]","7.8","34","false","false","false","false","false","true","false","false","false","false"
"tt1328909","All American Orgy","2009","[Comedy]","3.5","930","false","false","true","false","false","false","false","false","false","false"
"tt1502397","Bad Boys for Life","2020","[Action, Comedy, Crime]","6.6","117743","true","false","true","true","false","false","false","false","false","false"
"tt1548599","The Voice of the Voiceless","2013","[Drama]","7.6","81","false","false","false","false","false","true","false","false","false","false"
"tt1620680","A Wrinkle in Time","2018","[Adventure, Family, Fantasy]","4.2","40277","false","true","false","false","false","false","false","false","false","false"
"tt8403168","Hesburgh","2018","[Documentary]","7.7","90","false","false","false","false","true","false","false","false","false","false"
"tt5460522","JT LeRoy","2018","[Biography, Drama]","5.3","1663","false","false","false","false","false","true","false","false","false","false"
"tt5494608","Signature Work","2016","[Crime, Thriller]","5.2","14","false","false","false","true","false","false","false","false","false","true"
"tt2784678","Top Five","2014","[Comedy, Romance]","6.4","25601","false","false","true","false","false","false","false","false","true","false"
"tt3468298","Axel: The Biggest Little Hero","2013","[Adventure, Animation, Comedy]","4.8","127","false","true","true","false","false","false","false","false","false","false"
"tt11024272","The Babysitter: Killer Queen","2020","[Comedy, Horror]","5.8","20861","false","false","true","false","false","false","true","false","false","false"
"tt0099704","Grim Prairie Tales","1990","[Horror, Western]","5.4","902","false","false","false","false","false","false","true","false","false","false"
"tt0145484","Spaghetti a mezzanotte","1981","[Comedy]","6.5","442","false","false","true","false","false","false","false","false","false","false"
"tt0046919","The Ditch","1954","[Drama]","7.5","69","false","false","false","false","false","true","false","false","false","false"
"tt0061504","Common Law Cabin","1967","[Comedy]","4.9","617","false","false","true","false","false","false","false","false","false","false"
"tt0086499","The Doctor's Pupil","1984","[Comedy, Family, History]","7.1","60","false","false","true","false","false","false","false","false","false","false"
"tt9497120","Semiconductor","2018","[Horror]","4.5","20","false","false","false","false","false","false","true","false","false","false"
"tt1988781","7 Below","2012","[Horror]","3.1","3864","false","false","false","false","false","false","true","false","false","false"
"tt0332047","The Perfect Catch","2005","[Comedy, Drama, Romance]","6.2","42037","false","false","true","false","false","true","false","false","true","false"
"tt0075011","Once Upon a Time","1973","[Animation, Family, Fantasy]","5.8","136","false","false","false","false","false","false","false","false","false","false"
"tt0077440","Jukebox","1978","[Drama, Music]","5.7","40","false","false","false","false","false","true","false","false","false","false"
"tt2948372","Soul","2020","[Adventure, Animation, Comedy]","8.2","256","false","true","true","false","false","false","false","false","false","false"
"tt3004572","2101","2014","[Action, Adventure, Sci-Fi]","2.2","271","true","true","false","false","false","false","false","false","false","false"
"tt3256226","IO","2019","[Adventure, Drama, Sci-Fi]","4.7","30215","false","true","false","false","false","true","false","false","false","false"
"tt2234162","Habana Libre","2012","[Documentary]","6.8","10","false","false","false","false","true","false","false","false","false","false"
"tt2527336","Star Wars: Episode VIII - The Last Jedi","2017","[Action, Adventure, Fantasy]","7.0","551939","true","true","false","false","false","false","false","false","false","false"
"tt4866056","Scarecrowd","2015","[Horror]","6.6","39","false","false","false","false","false","false","true","false","false","false"
"tt4881806","Jurassic World: Fallen Kingdom","2018","[Action, Adventure, Sci-Fi]","6.2","259628","true","true","false","false","false","false","false","false","false","false"
"tt0923671","The Day of the Dead","2007","[Horror, Thriller]","4.5","55","false","false","false","false","false","false","true","false","false","true"
"tt1457767","The Conjuring","2013","[Horror, Mystery, Thriller]","7.5","433848","false","false","false","false","false","false","true","true","false","true"
"tt1478839","The Art of Racing in the Rain","2019","[Comedy, Drama, Romance]","7.6","22960","false","false","true","false","false","true","false","false","true","false"
"tt0047975","The Warriors","1955","[Adventure, Drama, History]","6.0","478","false","true","false","false","false","true","false","false","false","false"
"tt0067576","The Sidelong Glances of a Pigeon Kicker","1970","[Comedy]","5.9","62","false","false","true","false","false","false","false","false","false","false"
"tt0109028","Cold Fever","1995","[Comedy, Drama, Mystery]","7.0","1707","false","false","true","false","false","true","false","true","false","false"
"tt1222816","Disneynature: Wings of Life","2011","[Documentary, Family, News]","7.4","492","false","false","false","false","true","false","false","false","false","false"
"tt12354874","Ginger's Tale","2020","[Animation]","5.7","63","false","false","false","false","false","false","false","false","false","false"
"tt7983890","Ms. Purple","2019","[Drama]","6.1","457","false","false","false","false","false","true","false","false","false","false"
"tt8041276","Paddleton","2019","[Comedy, Drama]","7.2","10502","false","false","true","false","false","true","false","false","false","false"
"tt2634414","Alligator Alley","2013","[Action, Adventure, Comedy]","3.6","707","true","true","true","false","false","false","false","false","false","false"
"tt2698966","The Debt","2015","[Thriller]","6.0","663","false","false","false","false","false","false","false","false","false","true"
"tt3057572","Of Mind and Music","2014","[Drama, Music]","6.9","365","false","false","false","false","false","true","false","false","false","false"
"tt3296908","The Man with the Iron Heart","2017","[Action, Biography, Thriller]","6.4","13559","true","false","false","false","false","false","false","false","false","true"
"tt4572700","Mother Krampus 2: Slay Ride","2018","[Horror]","3.3","161","false","false","false","false","false","false","true","false","false","false"
"tt3978720","4th Man Out","2015","[Comedy, Drama]","6.7","9423","false","false","true","false","false","true","false","false","false","false"
"tt0139151","Inferno","1999","[Action, Comedy, Drama]","5.2","8851","true","false","true","false","false","true","false","false","false","false"
"tt0222719","Andromina: The Pleasure Planet","1999","[Comedy, Fantasy, Horror]","4.1","279","false","false","true","false","false","false","true","false","false","false"
"tt7009250","Her Son's Secret","2018","[Thriller]","5.4","402","false","false","false","false","false","false","false","false","false","true"
"tt7616148","Luce","2019","[Drama, Mystery]","6.7","9186","false","false","false","false","false","true","false","true","false","false"
"tt10715194","Back to School","2019","[Comedy]","5.3","961","false","false","true","false","false","false","false","false","false","false"
"tt1937340","Beyond Paradise","2018","[Drama, Romance]","5.8","358","false","false","false","false","false","true","false","false","true","false"
"tt0042895","Rio Grande","1950","[Romance, Western]","7.1","14158","false","false","false","false","false","false","false","false","true","false"
"tt0075419","Alice Cooper: Welcome to My Nightmare (Concert Feature)","1975","[Horror, Music]","7.5","418","false","false","false","false","false","false","true","false","false","false"
"tt6155456","Juanita","2019","[Drama]","5.9","2025","false","false","false","false","false","true","false","false","false","false"
"tt6316466","Adam","2019","[Comedy]","3.5","1398","false","false","true","false","false","false","false","false","false","false"
"tt6913168","Belleville Cop","2018","[Comedy, Crime]","4.8","1565","false","false","true","true","false","false","false","false","false","false"
"tt0455829","Vettaiyaadu Vilaiyaadu","2006","[Action, Crime, Thriller]","7.9","6533","true","false","false","true","false","false","false","false","false","true"
"tt8196692","Soul Hunters","2019","[Action, Thriller]","6.8","1285","true","false","false","false","false","false","false","false","false","true"
"tt8354582","Deadly Switch","2019","[Mystery, Thriller]","4.5","873","false","false","false","false","false","false","false","true","false","true"
"tt8487580","Wandering Girl","2018","[Drama]","6.5","193","false","false","false","false","false","true","false","false","false","false"
"tt2734498","Available: A Modern Day Fairy Tale","2013","[Comedy, Drama, Romance]","5.6","53","false","false","true","false","false","true","false","false","true","false"
"tt4643048","Fatal Pulse","2018","[Thriller]","5.3","132","false","false","false","false","false","false","false","false","false","true"
"tt5176580","Wild Nights with Emily","2018","[Comedy, History]","6.1","833","false","false","true","false","false","false","false","false","false","false"
"tt3526470","The Operative","2015","[Crime, Drama, Thriller]","5.5","449","false","false","false","true","false","true","false","false","false","true"
"tt0111526","The Righteous (1994)","1994","[Documentary]","7.7","6","false","false","false","false","true","false","false","false","false","false"
"tt0212720","A.I. Artificial Intelligence","2001","[Drama, Sci-Fi]","7.2","287497","false","false","false","false","false","true","false","false","false","false"
"tt0275287","Virtual Weapon","1997","[Comedy, Crime]","4.7","382","false","false","true","true","false","false","false","false","false","false"
"tt7368158","GoAnimate: The Movie","2006","[Action, Adventure, Animation]","4.6","127","true","true","false","false","false","false","false","false","false","false"
"tt1391087","Perfect Sunday","2010","[Comedy]","5.7","45","false","false","true","false","false","false","false","false","false","false"
"tt1417299","Unnaipol Oruvan","2009","[Crime, Drama, Mystery]","8.0","5101","false","false","false","true","false","true","false","true","false","false"
"tt1901024","Dark Crimes","2016","[Crime, Drama, Thriller]","4.8","13916","false","false","false","true","false","true","false","false","false","true"
"tt1954579","Reel Black Love","2011","[Documentary]","6.9","11","false","false","false","false","true","false","false","false","false","false"
"tt1160368","12 Rounds","2009","[Action, Crime, Thriller]","5.6","27021","true","false","false","true","false","false","false","false","false","true"
"tt1180311","The Flower of Kim Jong II","2009","[Documentary, Drama]","6.8","798","false","false","false","false","true","true","false","false","false","false"
"tt0063202","Las Vegas Free-for-All","1967","[Action, Adventure, Comedy]","5.7","9","true","true","true","false","false","false","false","false","false","false"
"tt6566768","Native Son","2019","[Drama]","5.7","1959","false","false","false","false","false","true","false","false","false","false"
"tt0469185","The Shark Is Still Working: The Impact & Legacy of 'Jaws'","2007","[Documentary]","7.7","641","false","false","false","false","true","false","false","false","false","false"
"tt2740874","Two: The Story of Roman & Nyro","2013","[Biography, Documentary, Drama]","7.2","39","false","false","false","false","true","true","false","false","false","false"
"tt2808964","Blue Boy","2011","[Family, Romance]","8.4","22","false","false","false","false","false","false","false","false","true","false"
"tt2367954","Strip Mahjong: Battle Royale","2011","[Horror, Thriller]","4.7","186","false","false","false","false","false","false","true","false","false","true"
"tt4890766","Play with Me","2016","[Horror]","2.3","9","false","false","false","false","false","false","true","false","false","false"
"tt5037840","Drunk Parents","2019","[Comedy]","3.9","5883","false","false","true","false","false","false","false","false","false","false"
"tt8970448","Adopt a Highway","2019","[Drama]","6.2","2668","false","false","false","false","false","true","false","false","false","false"
"tt9165332","Chitralahari","2019","[Drama]","7.2","1597","false","false","false","false","false","true","false","false","false","false"
"tt4154756","Avengers: Infinity War","2018","[Action, Adventure, Sci-Fi]","8.4","807376","true","true","false","false","false","false","false","false","false","false"
"tt0119338","Hurricane Streets","1997","[Crime, Drama, Romance]","6.3","1142","false","false","false","true","false","true","false","false","true","false"
"tt0156788","Secret Sins","1995","[Drama]","5.2","86","false","false","false","false","false","true","false","false","false","false"
"tt0204388","Hookers in a Haunted House","1999","[Comedy, Horror]","3.8","63","false","false","true","false","false","false","true","false","false","false"
"tt0283426","The Jungle Book 2","2003","[Adventure, Animation, Family]","5.4","14827","false","true","false","false","false","false","false","false","false","false"
