id,genres,rating,title,votes,year,cluster,distance
tt2073661,"[Drama, Thriller]",5,Dawn Patrol,652,2014,8.0,0.6725698113441467
tt2402085,"[Biography, Drama, Music]",6,Jimi: All Is by My Side,6274,2013,1.0,0.2729933261871338
tt2527338,"[Action, Adventure, Fantasy]",7,Star Wars: Episode IX - The Rise of Skywalker,354287,2019,2.0,0.3752748668193817
tt2554714,"[Horror, Thriller]",2,Haunting of the Innocent,393,2014,4.0,0.6024733781814575
tt8737614,"[Drama, Romance]",7,Majiji,2779,2019,6.0,0.4895946681499481
tt3477762,[Drama],6,Boundaries,199,2016,1.0,0.2960120141506195
tt3530978,"[Drama, Romance]",6,Correspondence,3900,2016,6.0,0.8770327568054199
tt3824648,"[Comedy, Drama]",7,Big Time Adolescence,5718,2019,1.0,0.8848095536231995
tt6518886,[Romance],6,Love Is a Broadway Hit,19,2017,6.0,1.1507186889648438
tt6520962,[Romance],8,Stan the Man,16,2020,6.0,1.1331361532211304
tt7661028,"[Crime, Horror, Thriller]",3,The Manson Family Massacre,259,2019,4.0,1.1777892112731934
tt7695522,"[Drama, Horror, Thriller]",6,Diya,435,2018,0.0,1.2005423307418823
tt7713068,"[Action, Adventure, Crime]",6,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,149371,2020,2.0,1.0235484838485718
tt0455944,"[Action, Crime, Thriller]",7,The Equalizer,327903,2014,8.0,1.335002064704895
tt0773292,[Drama],8,Inner Circle Line,34,2006,1.0,0.32964229583740234
tt1328909,[Comedy],4,All American Orgy,930,2009,3.0,0.3574078679084778
tt1502397,"[Action, Comedy, Crime]",7,Bad Boys for Life,117743,2020,7.0,1.3270388841629028
tt1548599,[Drama],8,The Voice of the Voiceless,81,2013,1.0,0.33250197768211365
tt1620680,"[Adventure, Family, Fantasy]",4,A Wrinkle in Time,40277,2018,2.0,0.8517434597015381
tt8403168,[Documentary],8,Hesburgh,90,2018,5.0,0.21222800016403198
tt5460522,"[Biography, Drama]",5,JT LeRoy,1663,2018,1.0,0.2417805790901184
tt5494608,"[Crime, Thriller]",5,Signature Work,14,2016,8.0,1.0604536533355713
tt2784678,"[Comedy, Romance]",6,Top Five,25601,2014,3.0,0.8231609463691711
tt3468298,"[Adventure, Animation, Comedy]",5,Axel: The Biggest Little Hero,127,2013,3.0,0.9201444983482361
tt11024272,"[Comedy, Horror]",6,The Babysitter: Killer Queen,20861,2020,3.0,0.9859148263931274
tt0099704,"[Horror, Western]",5,Grim Prairie Tales,902,1990,4.0,0.520114541053772
tt0145484,[Comedy],6,Spaghetti a mezzanotte,442,1981,3.0,0.41590356826782227
tt0046919,[Drama],8,The Ditch,69,1954,1.0,0.6124151349067688
tt0061504,[Comedy],5,Common Law Cabin,617,1967,3.0,0.4872087836265564
tt0086499,"[Comedy, Family, History]",7,The Doctor's Pupil,60,1984,3.0,0.4413635730743408
tt9497120,[Horror],4,Semiconductor,20,2018,4.0,0.5431597232818604
tt1988781,[Horror],3,7 Below,3864,2012,4.0,0.4878841042518616
tt0332047,"[Comedy, Drama, Romance]",6,The Perfect Catch,42037,2005,6.0,0.6171403527259827
tt0075011,"[Animation, Family, Fantasy]",6,Once Upon a Time,136,1973,3.0,1.0302867889404297
tt0077440,"[Drama, Music]",6,Jukebox,40,1978,1.0,0.47888967394828796
tt2948372,"[Adventure, Animation, Comedy]",8,Soul,256,2020,3.0,0.9098489284515381
tt3004572,"[Action, Adventure, Sci-Fi]",2,2101,271,2014,2.0,0.6313114166259766
tt3256226,"[Adventure, Drama, Sci-Fi]",5,IO,30215,2019,1.0,0.9805440306663513
tt2234162,[Documentary],7,Habana Libre,10,2012,5.0,0.22169071435928345
tt2527336,"[Action, Adventure, Fantasy]",7,Star Wars: Episode VIII - The Last Jedi,551939,2017,2.0,0.3700801432132721
tt4866056,[Horror],7,Scarecrowd,39,2015,4.0,0.5023641586303711
tt4881806,"[Action, Adventure, Sci-Fi]",6,Jurassic World: Fallen Kingdom,259628,2018,2.0,0.34428536891937256
tt0923671,"[Horror, Thriller]",4,The Day of the Dead,55,2007,4.0,0.5923081040382385
tt1457767,"[Horror, Mystery, Thriller]",8,The Conjuring,433848,2013,0.0,0.6105476021766663
tt1478839,"[Comedy, Drama, Romance]",8,The Art of Racing in the Rain,22960,2019,6.0,0.7053205370903015
tt0047975,"[Adventure, Drama, History]",6,The Warriors,478,1955,1.0,1.112377405166626
tt0067576,[Comedy],6,The Sidelong Glances of a Pigeon Kicker,62,1970,3.0,0.5309658646583557
tt0109028,"[Comedy, Drama, Mystery]",7,Cold Fever,1707,1995,1.0,1.2868950366973877
tt1222816,"[Documentary, Family, News]",7,Disneynature: Wings of Life,492,2011,5.0,0.11190751940011978
tt12354874,[Animation],6,Ginger's Tale,63,2020,3.0,1.0226314067840576
tt7983890,[Drama],6,Ms. Purple,457,2019,1.0,0.2999795973300934
tt8041276,"[Comedy, Drama]",7,Paddleton,10502,2019,1.0,0.8875975608825684
tt2634414,"[Action, Adventure, Comedy]",4,Alligator Alley,707,2013,2.0,0.9406338930130005
tt2698966,[Thriller],6,The Debt,663,2015,8.0,0.47888344526290894
tt3057572,"[Drama, Music]",7,Of Mind and Music,365,2014,1.0,0.2550973892211914
tt3296908,"[Action, Biography, Thriller]",6,The Man with the Iron Heart,13559,2017,8.0,0.9427843689918518
tt4572700,[Horror],3,Mother Krampus 2: Slay Ride,161,2018,4.0,0.5252095460891724
tt3978720,"[Comedy, Drama]",7,4th Man Out,9423,2015,1.0,0.8812172412872314
tt0139151,"[Action, Comedy, Drama]",5,Inferno,8851,1999,1.0,1.2455108165740967
tt0222719,"[Comedy, Fantasy, Horror]",4,Andromina: The Pleasure Planet,279,1999,3.0,1.0242068767547607
tt7009250,[Thriller],5,Her Son's Secret,402,2018,8.0,0.5007016658782959
tt7616148,"[Drama, Mystery]",7,Luce,9186,2019,1.0,1.0015114545822144
tt10715194,[Comedy],5,Back to School,961,2019,3.0,0.3571920096874237
tt1937340,"[Drama, Romance]",6,Beyond Paradise,358,2018,6.0,0.519632875919342
tt0042895,"[Romance, Western]",7,Rio Grande,14158,1950,6.0,1.184090256690979
tt0075419,"[Horror, Music]",8,Alice Cooper: Welcome to My Nightmare (Concert Feature),418,1975,4.0,0.5922367572784424
tt6155456,[Drama],6,Juanita,2025,2019,1.0,0.2902395725250244
tt6316466,[Comedy],4,Adam,1398,2019,3.0,0.3503226637840271
tt6913168,"[Comedy, Crime]",5,Belleville Cop,1565,2018,3.0,1.2348127365112305
tt0455829,"[Action, Crime, Thriller]",8,Vettaiyaadu Vilaiyaadu,6533,2006,7.0,1.3576747179031372
tt8196692,"[Action, Thriller]",7,Soul Hunters,1285,2019,8.0,0.9804001450538635
tt8354582,"[Mystery, Thriller]",4,Deadly Switch,873,2019,8.0,1.0078585147857666
tt8487580,[Drama],6,Wandering Girl,193,2018,1.0,0.30715256929397583
